,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
2373,4.78,Bahamas1987,,"2,713,999,900",12286,Boomers
2374,0.0,Bahamas1987,,"2,713,999,900",12286,Generation X
2375,0.0,Bahamas1987,,"2,713,999,900",12286,Boomers
2376,0.0,Bahamas1987,,"2,713,999,900",12286,Silent
2377,0.0,Bahamas1987,,"2,713,999,900",12286,Generation X
2378,0.0,Bahamas1987,,"2,713,999,900",12286,G.I. Generation
2379,0.0,Bahamas1987,,"2,713,999,900",12286,G.I. Generation
2380,0.0,Bahamas1987,,"2,713,999,900",12286,Generation X
2381,0.0,Bahamas1987,,"2,713,999,900",12286,Generation X
2382,0.0,Bahamas1987,,"2,713,999,900",12286,G.I. Generation
2383,0.0,Bahamas1987,,"2,713,999,900",12286,G.I. Generation
2384,10.1,Bahamas1993,,"3,092,000,000",12698,Silent
2385,8.4,Bahamas1993,,"3,092,000,000",12698,Silent
2386,7.87,Bahamas1993,,"3,092,000,000",12698,Boomers
2387,7.41,Bahamas1993,,"3,092,000,000",12698,Boomers
2388,3.73,Bahamas1993,,"3,092,000,000",12698,Generation X
2389,0.0,Bahamas1993,,"3,092,000,000",12698,Generation X
2390,0.0,Bahamas1993,,"3,092,000,000",12698,Boomers
2391,0.0,Bahamas1993,,"3,092,000,000",12698,Boomers
2392,0.0,Bahamas1993,,"3,092,000,000",12698,Millenials
2393,0.0,Bahamas1993,,"3,092,000,000",12698,G.I. Generation
2394,0.0,Bahamas1993,,"3,092,000,000",12698,Millenials
2395,0.0,Bahamas1993,,"3,092,000,000",12698,G.I. Generation
2396,10.6,Bahamas1994,,"3,259,000,000",13073,Boomers
2397,0.0,Bahamas1994,,"3,259,000,000",13073,Generation X
2398,0.0,Bahamas1994,,"3,259,000,000",13073,Boomers
2399,0.0,Bahamas1994,,"3,259,000,000",13073,Boomers
2400,0.0,Bahamas1994,,"3,259,000,000",13073,Millenials
2401,0.0,Bahamas1994,,"3,259,000,000",13073,Silent
2402,0.0,Bahamas1994,,"3,259,000,000",13073,G.I. Generation
2403,0.0,Bahamas1994,,"3,259,000,000",13073,Generation X
2404,0.0,Bahamas1994,,"3,259,000,000",13073,Boomers
2405,0.0,Bahamas1994,,"3,259,000,000",13073,Millenials
2406,0.0,Bahamas1994,,"3,259,000,000",13073,Silent
2407,0.0,Bahamas1994,,"3,259,000,000",13073,G.I. Generation
2408,3.8,Bahamas1995,,"3,429,000,000",13473,Generation X
2409,3.36,Bahamas1995,,"3,429,000,000",13473,Boomers
2410,0.0,Bahamas1995,,"3,429,000,000",13473,Generation X
2411,0.0,Bahamas1995,,"3,429,000,000",13473,Generation X
2412,0.0,Bahamas1995,,"3,429,000,000",13473,Boomers
2413,0.0,Bahamas1995,,"3,429,000,000",13473,Millenials
2414,0.0,Bahamas1995,,"3,429,000,000",13473,Silent
2415,0.0,Bahamas1995,,"3,429,000,000",13473,G.I. Generation
2416,0.0,Bahamas1995,,"3,429,000,000",13473,Generation X
2417,0.0,Bahamas1995,,"3,429,000,000",13473,Millenials
2418,0.0,Bahamas1995,,"3,429,000,000",13473,Silent
2419,0.0,Bahamas1995,,"3,429,000,000",13473,G.I. Generation
2420,9.82,Bahamas1996,,"3,609,000,000",14297,Boomers
2421,0.0,Bahamas1996,,"3,609,000,000",14297,Generation X
2422,0.0,Bahamas1996,,"3,609,000,000",14297,Generation X
2423,0.0,Bahamas1996,,"3,609,000,000",14297,Boomers
2424,0.0,Bahamas1996,,"3,609,000,000",14297,Millenials
2425,0.0,Bahamas1996,,"3,609,000,000",14297,Silent
2426,0.0,Bahamas1996,,"3,609,000,000",14297,G.I. Generation
2427,0.0,Bahamas1996,,"3,609,000,000",14297,Generation X
2428,0.0,Bahamas1996,,"3,609,000,000",14297,Generation X
2429,0.0,Bahamas1996,,"3,609,000,000",14297,Millenials
2430,0.0,Bahamas1996,,"3,609,000,000",14297,Silent
2431,0.0,Bahamas1996,,"3,609,000,000",14297,G.I. Generation
2432,4.01,Bahamas1997,,"6,332,360,000",24740,Generation X
2433,3.14,Bahamas1997,,"6,332,360,000",24740,Boomers
2434,0.0,Bahamas1997,,"6,332,360,000",24740,Generation X
2435,0.0,Bahamas1997,,"6,332,360,000",24740,Generation X
2436,0.0,Bahamas1997,,"6,332,360,000",24740,Boomers
2437,0.0,Bahamas1997,,"6,332,360,000",24740,Millenials
2438,0.0,Bahamas1997,,"6,332,360,000",24740,Silent
2439,0.0,Bahamas1997,,"6,332,360,000",24740,G.I. Generation
2440,0.0,Bahamas1997,,"6,332,360,000",24740,Generation X
2441,0.0,Bahamas1997,,"6,332,360,000",24740,Millenials
2442,0.0,Bahamas1997,,"6,332,360,000",24740,Silent
2443,0.0,Bahamas1997,,"6,332,360,000",24740,G.I. Generation
2444,8.08,Bahamas1998,,"6,833,220,000",26269,Generation X
2445,3.01,Bahamas1998,,"6,833,220,000",26269,Boomers
2446,0.0,Bahamas1998,,"6,833,220,000",26269,Generation X
2447,0.0,Bahamas1998,,"6,833,220,000",26269,Generation X
2448,0.0,Bahamas1998,,"6,833,220,000",26269,Boomers
2449,0.0,Bahamas1998,,"6,833,220,000",26269,Millenials
2450,0.0,Bahamas1998,,"6,833,220,000",26269,Silent
2451,0.0,Bahamas1998,,"6,833,220,000",26269,G.I. Generation
2452,0.0,Bahamas1998,,"6,833,220,000",26269,Generation X
2453,0.0,Bahamas1998,,"6,833,220,000",26269,Millenials
2454,0.0,Bahamas1998,,"6,833,220,000",26269,Silent
2455,0.0,Bahamas1998,,"6,833,220,000",26269,G.I. Generation
2456,12.22,Bahamas1999,,"7,683,870,000",29019,Generation X
2457,3.94,Bahamas1999,,"7,683,870,000",29019,Generation X
2458,3.92,Bahamas1999,,"7,683,870,000",29019,Generation X
2459,2.88,Bahamas1999,,"7,683,870,000",29019,Boomers
2460,0.0,Bahamas1999,,"7,683,870,000",29019,Generation X
2461,0.0,Bahamas1999,,"7,683,870,000",29019,Boomers
2462,0.0,Bahamas1999,,"7,683,870,000",29019,Millenials
2463,0.0,Bahamas1999,,"7,683,870,000",29019,Silent
2464,0.0,Bahamas1999,,"7,683,870,000",29019,G.I. Generation
2465,0.0,Bahamas1999,,"7,683,870,000",29019,Millenials
2466,0.0,Bahamas1999,,"7,683,870,000",29019,Silent
2467,0.0,Bahamas1999,,"7,683,870,000",29019,G.I. Generation
2468,16.44,Bahamas2000,0.778,"8,076,470,000",29942,Generation X
2469,13.87,Bahamas2000,0.778,"8,076,470,000",29942,Boomers
2470,6.47,Bahamas2000,0.778,"8,076,470,000",29942,Silent
2471,3.88,Bahamas2000,0.778,"8,076,470,000",29942,Generation X
2472,0.0,Bahamas2000,0.778,"8,076,470,000",29942,Generation X
2473,0.0,Bahamas2000,0.778,"8,076,470,000",29942,Boomers
2474,0.0,Bahamas2000,0.778,"8,076,470,000",29942,Millenials
2475,0.0,Bahamas2000,0.778,"8,076,470,000",29942,G.I. Generation
2476,0.0,Bahamas2000,0.778,"8,076,470,000",29942,Generation X
2477,0.0,Bahamas2000,0.778,"8,076,470,000",29942,Millenials
2478,0.0,Bahamas2000,0.778,"8,076,470,000",29942,Silent
2479,0.0,Bahamas2000,0.778,"8,076,470,000",29942,G.I. Generation
2480,2.68,Bahamas2001,,"8,317,830,000",30122,Boomers
2481,0.0,Bahamas2001,,"8,317,830,000",30122,Millenials
2482,0.0,Bahamas2001,,"8,317,830,000",30122,Generation X
2483,0.0,Bahamas2001,,"8,317,830,000",30122,Boomers
2484,0.0,Bahamas2001,,"8,317,830,000",30122,Millenials
2485,0.0,Bahamas2001,,"8,317,830,000",30122,Silent
2486,0.0,Bahamas2001,,"8,317,830,000",30122,Silent
2487,0.0,Bahamas2001,,"8,317,830,000",30122,Millenials
2488,0.0,Bahamas2001,,"8,317,830,000",30122,Generation X
2489,0.0,Bahamas2001,,"8,317,830,000",30122,Millenials
2490,0.0,Bahamas2001,,"8,317,830,000",30122,Silent
2491,0.0,Bahamas2001,,"8,317,830,000",30122,Silent
2492,7.38,Bahamas2002,,"8,881,160,000",31432,Millenials
2493,2.59,Bahamas2002,,"8,881,160,000",31432,Boomers
2494,0.0,Bahamas2002,,"8,881,160,000",31432,Millenials
2495,0.0,Bahamas2002,,"8,881,160,000",31432,Generation X
2496,0.0,Bahamas2002,,"8,881,160,000",31432,Boomers
2497,0.0,Bahamas2002,,"8,881,160,000",31432,Millenials
2498,0.0,Bahamas2002,,"8,881,160,000",31432,Silent
2499,0.0,Bahamas2002,,"8,881,160,000",31432,Silent
2500,0.0,Bahamas2002,,"8,881,160,000",31432,Generation X
2501,0.0,Bahamas2002,,"8,881,160,000",31432,Millenials
2502,0.0,Bahamas2002,,"8,881,160,000",31432,Silent
2503,0.0,Bahamas2002,,"8,881,160,000",31432,Silent
2504,2.49,Bahamas2003,,"8,870,090,000",30704,Boomers
2505,0.0,Bahamas2003,,"8,870,090,000",30704,Millenials
2506,0.0,Bahamas2003,,"8,870,090,000",30704,Generation X
2507,0.0,Bahamas2003,,"8,870,090,000",30704,Boomers
2508,0.0,Bahamas2003,,"8,870,090,000",30704,Millenials
2509,0.0,Bahamas2003,,"8,870,090,000",30704,Silent
2510,0.0,Bahamas2003,,"8,870,090,000",30704,Silent
2511,0.0,Bahamas2003,,"8,870,090,000",30704,Millenials
2512,0.0,Bahamas2003,,"8,870,090,000",30704,Generation X
2513,0.0,Bahamas2003,,"8,870,090,000",30704,Millenials
2514,0.0,Bahamas2003,,"8,870,090,000",30704,Silent
2515,0.0,Bahamas2003,,"8,870,090,000",30704,Silent
2516,3.53,Bahamas2004,,"9,055,290,000",30671,Millenials
2517,2.4,Bahamas2004,,"9,055,290,000",30671,Boomers
2518,0.0,Bahamas2004,,"9,055,290,000",30671,Millenials
2519,0.0,Bahamas2004,,"9,055,290,000",30671,Generation X
2520,0.0,Bahamas2004,,"9,055,290,000",30671,Boomers
2521,0.0,Bahamas2004,,"9,055,290,000",30671,Millenials
2522,0.0,Bahamas2004,,"9,055,290,000",30671,Silent
2523,0.0,Bahamas2004,,"9,055,290,000",30671,Silent
2524,0.0,Bahamas2004,,"9,055,290,000",30671,Generation X
2525,0.0,Bahamas2004,,"9,055,290,000",30671,Millenials
2526,0.0,Bahamas2004,,"9,055,290,000",30671,Silent
2527,0.0,Bahamas2004,,"9,055,290,000",30671,Silent
2528,3.79,Bahamas2005,0.78,"9,836,200,000",32596,Generation X
2529,3.72,Bahamas2005,0.78,"9,836,200,000",32596,Generation X
2530,3.49,Bahamas2005,0.78,"9,836,200,000",32596,Millenials
2531,2.32,Bahamas2005,0.78,"9,836,200,000",32596,Boomers
2532,0.0,Bahamas2005,0.78,"9,836,200,000",32596,Millenials
2533,0.0,Bahamas2005,0.78,"9,836,200,000",32596,Boomers
2534,0.0,Bahamas2005,0.78,"9,836,200,000",32596,Millenials
2535,0.0,Bahamas2005,0.78,"9,836,200,000",32596,Silent
2536,0.0,Bahamas2005,0.78,"9,836,200,000",32596,Silent
2537,0.0,Bahamas2005,0.78,"9,836,200,000",32596,Millenials
2538,0.0,Bahamas2005,0.78,"9,836,200,000",32596,Silent
2539,0.0,Bahamas2005,0.78,"9,836,200,000",32596,Silent
2540,3.39,Bahamas2006,,"10,167,250,000",32957,Millenials
2541,2.25,Bahamas2006,,"10,167,250,000",32957,Boomers
2542,0.0,Bahamas2006,,"10,167,250,000",32957,Millenials
2543,0.0,Bahamas2006,,"10,167,250,000",32957,Generation X
2544,0.0,Bahamas2006,,"10,167,250,000",32957,Boomers
2545,0.0,Bahamas2006,,"10,167,250,000",32957,Millenials
2546,0.0,Bahamas2006,,"10,167,250,000",32957,Silent
2547,0.0,Bahamas2006,,"10,167,250,000",32957,Silent
2548,0.0,Bahamas2006,,"10,167,250,000",32957,Generation X
2549,0.0,Bahamas2006,,"10,167,250,000",32957,Millenials
2550,0.0,Bahamas2006,,"10,167,250,000",32957,Silent
2551,0.0,Bahamas2006,,"10,167,250,000",32957,Silent
2552,4.37,Bahamas2007,,"10,618,340,000",33710,Boomers
2553,3.7,Bahamas2007,,"10,618,340,000",33710,Generation X
2554,3.31,Bahamas2007,,"10,618,340,000",33710,Millenials
2555,2.04,Bahamas2007,,"10,618,340,000",33710,Boomers
2556,0.0,Bahamas2007,,"10,618,340,000",33710,Millenials
2557,0.0,Bahamas2007,,"10,618,340,000",33710,Generation X
2558,0.0,Bahamas2007,,"10,618,340,000",33710,Generation Z
2559,0.0,Bahamas2007,,"10,618,340,000",33710,Silent
2560,0.0,Bahamas2007,,"10,618,340,000",33710,Silent
2561,0.0,Bahamas2007,,"10,618,340,000",33710,Generation Z
2562,0.0,Bahamas2007,,"10,618,340,000",33710,Silent
2563,0.0,Bahamas2007,,"10,618,340,000",33710,Silent
2564,3.65,Bahamas2008,,"10,526,000,000",32746,Generation X
2565,3.48,Bahamas2008,,"10,526,000,000",32746,Generation Z
2566,3.24,Bahamas2008,,"10,526,000,000",32746,Millenials
2567,2.12,Bahamas2008,,"10,526,000,000",32746,Boomers
2568,0.0,Bahamas2008,,"10,526,000,000",32746,Millenials
2569,0.0,Bahamas2008,,"10,526,000,000",32746,Generation X
2570,0.0,Bahamas2008,,"10,526,000,000",32746,Boomers
2571,0.0,Bahamas2008,,"10,526,000,000",32746,Generation Z
2572,0.0,Bahamas2008,,"10,526,000,000",32746,Silent
2573,0.0,Bahamas2008,,"10,526,000,000",32746,Silent
2574,0.0,Bahamas2008,,"10,526,000,000",32746,Silent
2575,0.0,Bahamas2008,,"10,526,000,000",32746,Silent
2576,6.36,Bahamas2009,,"9,981,960,000",30450,Millenials
2577,4.1,Bahamas2009,,"9,981,960,000",30450,Boomers
2578,3.59,Bahamas2009,,"9,981,960,000",30450,Generation X
2579,1.93,Bahamas2009,,"9,981,960,000",30450,Boomers
2580,0.0,Bahamas2009,,"9,981,960,000",30450,Millenials
2581,0.0,Bahamas2009,,"9,981,960,000",30450,Generation X
2582,0.0,Bahamas2009,,"9,981,960,000",30450,Generation Z
2583,0.0,Bahamas2009,,"9,981,960,000",30450,Silent
2584,0.0,Bahamas2009,,"9,981,960,000",30450,Silent
2585,0.0,Bahamas2009,,"9,981,960,000",30450,Generation Z
2586,0.0,Bahamas2009,,"9,981,960,000",30450,Silent
2587,0.0,Bahamas2009,,"9,981,960,000",30450,Silent
2588,32.36,Bahamas2010,0.774,"10,095,760,000",30239,Silent
2589,6.29,Bahamas2010,0.774,"10,095,760,000",30239,Millenials
2590,5.96,Bahamas2010,0.774,"10,095,760,000",30239,Generation X
2591,4.72,Bahamas2010,0.774,"10,095,760,000",30239,Silent
2592,3.98,Bahamas2010,0.774,"10,095,760,000",30239,Silent
2593,3.13,Bahamas2010,0.774,"10,095,760,000",30239,Millenials
2594,1.88,Bahamas2010,0.774,"10,095,760,000",30239,Generation X
2595,0.0,Bahamas2010,0.774,"10,095,760,000",30239,Generation X
2596,0.0,Bahamas2010,0.774,"10,095,760,000",30239,Generation Z
2597,0.0,Bahamas2010,0.774,"10,095,760,000",30239,Silent
2598,0.0,Bahamas2010,0.774,"10,095,760,000",30239,Generation X
2599,0.0,Bahamas2010,0.774,"10,095,760,000",30239,Generation Z
2600,4.51,Bahamas2011,0.778,"10,070,450,000",29761,Boomers
2601,3.43,Bahamas2011,0.778,"10,070,450,000",29761,Millenials
2602,3.09,Bahamas2011,0.778,"10,070,450,000",29761,Millenials
2603,1.96,Bahamas2011,0.778,"10,070,450,000",29761,Generation X
2604,0.0,Bahamas2011,0.778,"10,070,450,000",29761,Millenials
2605,0.0,Bahamas2011,0.778,"10,070,450,000",29761,Generation X
2606,0.0,Bahamas2011,0.778,"10,070,450,000",29761,Generation Z
2607,0.0,Bahamas2011,0.778,"10,070,450,000",29761,Boomers
2608,0.0,Bahamas2011,0.778,"10,070,450,000",29761,Silent
2609,0.0,Bahamas2011,0.778,"10,070,450,000",29761,Millenials
2610,0.0,Bahamas2011,0.778,"10,070,450,000",29761,Generation Z
2611,0.0,Bahamas2011,0.778,"10,070,450,000",29761,Silent
2612,6.11,Bahamas2012,0.783,"10,720,500,000",31204,Millenials
2613,3.89,Bahamas2012,0.783,"10,720,500,000",31204,Generation X
2614,1.84,Bahamas2012,0.783,"10,720,500,000",31204,Generation X
2615,0.0,Bahamas2012,0.783,"10,720,500,000",31204,Millenials
2616,0.0,Bahamas2012,0.783,"10,720,500,000",31204,Millenials
2617,0.0,Bahamas2012,0.783,"10,720,500,000",31204,Generation Z
2618,0.0,Bahamas2012,0.783,"10,720,500,000",31204,Boomers
2619,0.0,Bahamas2012,0.783,"10,720,500,000",31204,Silent
2620,0.0,Bahamas2012,0.783,"10,720,500,000",31204,Millenials
2621,0.0,Bahamas2012,0.783,"10,720,500,000",31204,Generation Z
2622,0.0,Bahamas2012,0.783,"10,720,500,000",31204,Boomers
2623,0.0,Bahamas2012,0.783,"10,720,500,000",31204,Silent
2624,8.23,Bahamas2013,0.786,"10,627,600,000",30455,Boomers
2625,3.85,Bahamas2013,0.786,"10,627,600,000",30455,Generation X
2626,1.83,Bahamas2013,0.786,"10,627,600,000",30455,Generation X
2627,0.0,Bahamas2013,0.786,"10,627,600,000",30455,Millenials
2628,0.0,Bahamas2013,0.786,"10,627,600,000",30455,Millenials
2629,0.0,Bahamas2013,0.786,"10,627,600,000",30455,Generation Z
2630,0.0,Bahamas2013,0.786,"10,627,600,000",30455,Boomers
2631,0.0,Bahamas2013,0.786,"10,627,600,000",30455,Silent
2632,0.0,Bahamas2013,0.786,"10,627,600,000",30455,Millenials
2633,0.0,Bahamas2013,0.786,"10,627,600,000",30455,Millenials
2634,0.0,Bahamas2013,0.786,"10,627,600,000",30455,Generation Z
2635,0.0,Bahamas2013,0.786,"10,627,600,000",30455,Silent
2636,10.36,Bahrain1985,0.727,"3,651,861,702",9980,Boomers
2637,6.04,Bahrain1985,0.727,"3,651,861,702",9980,Silent
2638,3.72,Bahrain1985,0.727,"3,651,861,702",9980,Silent
2639,0.0,Bahrain1985,0.727,"3,651,861,702",9980,Generation X
2640,0.0,Bahrain1985,0.727,"3,651,861,702",9980,Boomers
2641,0.0,Bahrain1985,0.727,"3,651,861,702",9980,Generation X
2642,0.0,Bahrain1985,0.727,"3,651,861,702",9980,G.I. Generation
2643,0.0,Bahrain1985,0.727,"3,651,861,702",9980,G.I. Generation
2644,0.0,Bahrain1985,0.727,"3,651,861,702",9980,Generation X
2645,0.0,Bahrain1985,0.727,"3,651,861,702",9980,Generation X
2646,0.0,Bahrain1985,0.727,"3,651,861,702",9980,G.I. Generation
2647,0.0,Bahrain1985,0.727,"3,651,861,702",9980,G.I. Generation
2648,8.47,Bahrain1987,,"3,392,021,011",9321,G.I. Generation
2649,6.29,Bahrain1987,,"3,392,021,011",9321,Silent
2650,4.69,Bahrain1987,,"3,392,021,011",9321,Boomers
2651,3.64,Bahrain1987,,"3,392,021,011",9321,Boomers
2652,2.59,Bahrain1987,,"3,392,021,011",9321,Generation X
2653,0.0,Bahrain1987,,"3,392,021,011",9321,Silent
2654,0.0,Bahrain1987,,"3,392,021,011",9321,Generation X
2655,0.0,Bahrain1987,,"3,392,021,011",9321,G.I. Generation
2656,0.0,Bahrain1987,,"3,392,021,011",9321,G.I. Generation
2657,0.0,Bahrain1987,,"3,392,021,011",9321,Generation X
2658,0.0,Bahrain1987,,"3,392,021,011",9321,Generation X
2659,0.0,Bahrain1987,,"3,392,021,011",9321,G.I. Generation
2660,12.99,Bahrain1988,,"3,702,393,617",9501,Boomers
2661,6.3,Bahrain1988,,"3,702,393,617",9501,Silent
2662,3.24,Bahrain1988,,"3,702,393,617",9501,Silent
2663,2.27,Bahrain1988,,"3,702,393,617",9501,Generation X
2664,0.0,Bahrain1988,,"3,702,393,617",9501,Generation X
2665,0.0,Bahrain1988,,"3,702,393,617",9501,Boomers
2666,0.0,Bahrain1988,,"3,702,393,617",9501,Generation X
2667,0.0,Bahrain1988,,"3,702,393,617",9501,G.I. Generation
2668,0.0,Bahrain1988,,"3,702,393,617",9501,G.I. Generation
2669,0.0,Bahrain1988,,"3,702,393,617",9501,Generation X
2670,0.0,Bahrain1988,,"3,702,393,617",9501,G.I. Generation
2671,0.0,Bahrain1988,,"3,702,393,617",9501,G.I. Generation
2672,0.0,Bahrain1997,,"6,349,202,394",11985,Generation X
2673,0.0,Bahrain1997,,"6,349,202,394",11985,Generation X
2674,0.0,Bahrain1997,,"6,349,202,394",11985,Boomers
2675,0.0,Bahrain1997,,"6,349,202,394",11985,Millenials
2676,0.0,Bahrain1997,,"6,349,202,394",11985,Silent
2677,0.0,Bahrain1997,,"6,349,202,394",11985,G.I. Generation
2678,0.0,Bahrain1997,,"6,349,202,394",11985,Generation X
2679,0.0,Bahrain1997,,"6,349,202,394",11985,Generation X
2680,0.0,Bahrain1997,,"6,349,202,394",11985,Boomers
2681,0.0,Bahrain1997,,"6,349,202,394",11985,Millenials
2682,0.0,Bahrain1997,,"6,349,202,394",11985,Silent
2683,0.0,Bahrain1997,,"6,349,202,394",11985,G.I. Generation
2684,0.0,Bahrain1998,,"6,183,776,596",11325,Generation X
2685,0.0,Bahrain1998,,"6,183,776,596",11325,Generation X
2686,0.0,Bahrain1998,,"6,183,776,596",11325,Boomers
2687,0.0,Bahrain1998,,"6,183,776,596",11325,Millenials
2688,0.0,Bahrain1998,,"6,183,776,596",11325,Silent
2689,0.0,Bahrain1998,,"6,183,776,596",11325,G.I. Generation
2690,0.0,Bahrain1998,,"6,183,776,596",11325,Generation X
2691,0.0,Bahrain1998,,"6,183,776,596",11325,Generation X
2692,0.0,Bahrain1998,,"6,183,776,596",11325,Boomers
2693,0.0,Bahrain1998,,"6,183,776,596",11325,Millenials
2694,0.0,Bahrain1998,,"6,183,776,596",11325,Silent
2695,0.0,Bahrain1998,,"6,183,776,596",11325,G.I. Generation
2696,9.66,Bahrain1999,,"6,621,010,372",11703,Generation X
2697,3.78,Bahrain1999,,"6,621,010,372",11703,Boomers
2698,3.45,Bahrain1999,,"6,621,010,372",11703,Generation X
2699,2.01,Bahrain1999,,"6,621,010,372",11703,Generation X
2700,1.91,Bahrain1999,,"6,621,010,372",11703,Generation X
2701,1.65,Bahrain1999,,"6,621,010,372",11703,Boomers
2702,0.0,Bahrain1999,,"6,621,010,372",11703,Millenials
2703,0.0,Bahrain1999,,"6,621,010,372",11703,Silent
2704,0.0,Bahrain1999,,"6,621,010,372",11703,G.I. Generation
2705,0.0,Bahrain1999,,"6,621,010,372",11703,Millenials
2706,0.0,Bahrain1999,,"6,621,010,372",11703,Silent
2707,0.0,Bahrain1999,,"6,621,010,372",11703,G.I. Generation
2708,18.55,Bahrain2000,0.794,"9,062,906,915",15345,Generation X
2709,8.92,Bahrain2000,0.794,"9,062,906,915",15345,Boomers
2710,3.38,Bahrain2000,0.794,"9,062,906,915",15345,Generation X
2711,1.88,Bahrain2000,0.794,"9,062,906,915",15345,Generation X
2712,0.0,Bahrain2000,0.794,"9,062,906,915",15345,Generation X
2713,0.0,Bahrain2000,0.794,"9,062,906,915",15345,Boomers
2714,0.0,Bahrain2000,0.794,"9,062,906,915",15345,Millenials
2715,0.0,Bahrain2000,0.794,"9,062,906,915",15345,Silent
2716,0.0,Bahrain2000,0.794,"9,062,906,915",15345,G.I. Generation
2717,0.0,Bahrain2000,0.794,"9,062,906,915",15345,Millenials
2718,0.0,Bahrain2000,0.794,"9,062,906,915",15345,Silent
2719,0.0,Bahrain2000,0.794,"9,062,906,915",15345,G.I. Generation
2720,8.8,Bahrain2001,,"8,976,207,713",14383,Generation X
2721,6.77,Bahrain2001,,"8,976,207,713",14383,Boomers
2722,5.58,Bahrain2001,,"8,976,207,713",14383,Silent
2723,2.93,Bahrain2001,,"8,976,207,713",14383,Millenials
2724,1.83,Bahrain2001,,"8,976,207,713",14383,Millenials
2725,1.79,Bahrain2001,,"8,976,207,713",14383,Generation X
2726,1.49,Bahrain2001,,"8,976,207,713",14383,Millenials
2727,1.47,Bahrain2001,,"8,976,207,713",14383,Boomers
2728,0.0,Bahrain2001,,"8,976,207,713",14383,Millenials
2729,0.0,Bahrain2001,,"8,976,207,713",14383,Silent
2730,0.0,Bahrain2001,,"8,976,207,713",14383,Silent
2731,0.0,Bahrain2001,,"8,976,207,713",14383,Silent
2732,7.2,Bahrain2002,,"9,632,155,053",14572,Generation X
2733,7.11,Bahrain2002,,"9,632,155,053",14572,Boomers
2734,5.6,Bahrain2002,,"9,632,155,053",14572,Boomers
2735,3.47,Bahrain2002,,"9,632,155,053",14572,Millenials
2736,2.62,Bahrain2002,,"9,632,155,053",14572,Millenials
2737,1.68,Bahrain2002,,"9,632,155,053",14572,Generation X
2738,0.0,Bahrain2002,,"9,632,155,053",14572,Millenials
2739,0.0,Bahrain2002,,"9,632,155,053",14572,Silent
2740,0.0,Bahrain2002,,"9,632,155,053",14572,Silent
2741,0.0,Bahrain2002,,"9,632,155,053",14572,Millenials
2742,0.0,Bahrain2002,,"9,632,155,053",14572,Silent
2743,0.0,Bahrain2002,,"9,632,155,053",14572,Silent
2744,12.38,Bahrain2003,,"11,074,822,074",15756,Boomers
2745,8.51,Bahrain2003,,"11,074,822,074",15756,Generation X
2746,7.89,Bahrain2003,,"11,074,822,074",15756,Generation X
2747,3.61,Bahrain2003,,"11,074,822,074",15756,Millenials
2748,0.0,Bahrain2003,,"11,074,822,074",15756,Millenials
2749,0.0,Bahrain2003,,"11,074,822,074",15756,Boomers
2750,0.0,Bahrain2003,,"11,074,822,074",15756,Millenials
2751,0.0,Bahrain2003,,"11,074,822,074",15756,Silent
2752,0.0,Bahrain2003,,"11,074,822,074",15756,Silent
2753,0.0,Bahrain2003,,"11,074,822,074",15756,Millenials
2754,0.0,Bahrain2003,,"11,074,822,074",15756,Silent
2755,0.0,Bahrain2003,,"11,074,822,074",15756,Silent
2756,19.31,Bahrain2004,,"13,150,166,755",17497,Silent
2757,16.27,Bahrain2004,,"13,150,166,755",17497,Generation X
2758,6.63,Bahrain2004,,"13,150,166,755",17497,Boomers
2759,4.41,Bahrain2004,,"13,150,166,755",17497,Generation X
2760,3.74,Bahrain2004,,"13,150,166,755",17497,Boomers
2761,2.26,Bahrain2004,,"13,150,166,755",17497,Millenials
2762,1.59,Bahrain2004,,"13,150,166,755",17497,Millenials
2763,0.0,Bahrain2004,,"13,150,166,755",17497,Millenials
2764,0.0,Bahrain2004,,"13,150,166,755",17497,Silent
2765,0.0,Bahrain2004,,"13,150,166,755",17497,Silent
2766,0.0,Bahrain2004,,"13,150,166,755",17497,Millenials
2767,0.0,Bahrain2004,,"13,150,166,755",17497,Silent
2768,10.54,Bahrain2005,0.816,"15,968,726,862",19485,Generation X
2769,8.01,Bahrain2005,0.816,"15,968,726,862",19485,Boomers
2770,7.34,Bahrain2005,0.816,"15,968,726,862",19485,Silent
2771,5.0,Bahrain2005,0.816,"15,968,726,862",19485,Millenials
2772,4.07,Bahrain2005,0.816,"15,968,726,862",19485,Generation X
2773,3.09,Bahrain2005,0.816,"15,968,726,862",19485,Millenials
2774,2.17,Bahrain2005,0.816,"15,968,726,862",19485,Boomers
2775,0.0,Bahrain2005,0.816,"15,968,726,862",19485,Millenials
2776,0.0,Bahrain2005,0.816,"15,968,726,862",19485,Silent
2777,0.0,Bahrain2005,0.816,"15,968,726,862",19485,Silent
2778,0.0,Bahrain2005,0.816,"15,968,726,862",19485,Millenials
2779,0.0,Bahrain2005,0.816,"15,968,726,862",19485,Silent
2780,7.56,Bahrain2006,,"18,505,053,191",20826,Generation X
2781,6.23,Bahrain2006,,"18,505,053,191",20826,Generation X
2782,4.35,Bahrain2006,,"18,505,053,191",20826,Millenials
2783,3.34,Bahrain2006,,"18,505,053,191",20826,Silent
